cycle,branch,model,modeldate,candidate_inc,candidate_chal,candidate_3rd,state,step_no,value_inc,value_chal,value_3rd,weight,step_description,timestamp,simulations
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Wyoming,9,66.37826,30.52485,,,Projected vote share,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Wyoming,8,69.61724,27.28586,,.0272714,Blend with economic fundamentals,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Wyoming,7,66.28736,30.61574,,,Snapshot,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Wyoming,6,68.07615,28.82695,,.4095719,Blend with regression,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Wyoming,5,65.0465,31.8566,,,Reallocated vote share,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Wyoming,4,1.782673,1.782673,,,Reallocate undecideds and third-party votes,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Wyoming,3,63.26383,30.07393,,,Adjusted polling average,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Wyoming,2,.0005989,-.0308933,,,Adjust for bounces & recent events,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Wyoming,1,63.26323,30.10482,,,Polling average,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Wyoming,10,.99855,.00145,,,Chance of winning,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Wisconsin,9,45.4459,53.6269,,,Projected vote share,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Wisconsin,8,49.23806,49.83474,,.0272714,Blend with economic fundamentals,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Wisconsin,7,45.32994,53.74286,,,Snapshot,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Wisconsin,6,45.9651,53.10769,,.1307275,Blend with regression,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Wisconsin,5,45.23442,53.83838,,,Reallocated vote share,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Wisconsin,4,1.971386,1.971378,,,Reallocate undecideds and third-party votes,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Wisconsin,3,43.26303,51.867,,,Adjusted polling average,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Wisconsin,2,.0063286,-.0126305,,,Adjust for bounces & recent events,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Wisconsin,1,43.25671,51.87963,,,Polling average,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Wisconsin,10,.063075,.936925,,,Chance of winning,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",West Virginia,9,63.1516,35.04416,,,Projected vote share,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",West Virginia,8,66.60253,31.59322,,.0272714,Blend with economic fundamentals,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",West Virginia,7,63.04008,35.15567,,,Snapshot,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",West Virginia,6,65.97213,32.22362,,.3844008,Blend with regression,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",West Virginia,5,61.2092,36.98655,,,Reallocated vote share,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",West Virginia,4,1.443779,1.443783,,,Reallocate undecideds and third-party votes,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",West Virginia,3,59.76542,35.54277,,,Adjusted polling average,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",West Virginia,2,-.0002556,-.0023422,,,Adjust for bounces & recent events,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",West Virginia,1,59.76568,35.54511,,,Polling average,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",West Virginia,10,.9888,.0112,,,Chance of winning,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Washington,9,37.31413,60.58195,,,Projected vote share,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Washington,8,40.94798,56.9481,,.0272714,Blend with economic fundamentals,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Washington,7,37.20443,60.69165,,,Snapshot,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Washington,6,36.27565,61.62043,,.3016365,Blend with regression,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Washington,5,37.60558,60.2905,,,Reallocated vote share,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Washington,4,1.835316,1.835312,,,Reallocate undecideds and third-party votes,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Washington,3,35.77026,58.45519,,,Adjusted polling average,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Washington,2,-.008976,.0058784,,,Adjust for bounces & recent events,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Washington,1,35.77924,58.44931,,,Polling average,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Washington,10,.0092,.9908,,,Chance of winning,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Virginia,9,43.29674,55.76302,,,Projected vote share,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Virginia,8,47.08664,51.97311,,.0272714,Blend with economic fundamentals,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Virginia,7,43.19687,55.86289,,,Snapshot,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Virginia,6,41.95166,57.1081,,.2971289,Blend with regression,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Virginia,5,43.72326,55.3365,,,Reallocated vote share,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Virginia,4,2.142887,2.142895,,,Reallocate undecideds and third-party votes,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Virginia,3,41.58037,53.1936,,,Adjusted polling average,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Virginia,2,-.0083771,-.0038338,,,Adjust for bounces & recent events,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Virginia,1,41.58875,53.19744,,,Polling average,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Virginia,10,.0095,.9905,,,Chance of winning,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Vermont,9,30.66448,66.8683,,,Projected vote share,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Vermont,8,34.04889,63.48389,,.0272714,Blend with economic fundamentals,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Vermont,7,30.54636,66.98642,,,Snapshot,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Vermont,6,29.69631,67.83646,,.4019967,Blend with regression,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Vermont,5,31.11779,66.41499,,,Reallocated vote share,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Vermont,4,1.79899,1.798996,,,Reallocate undecideds and third-party votes,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Vermont,3,29.3188,64.616,,,Adjusted polling average,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Vermont,2,.0038109,-.0152588,,,Adjust for bounces & recent events,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Vermont,1,29.31499,64.63126,,,Polling average,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Vermont,10,.00605,.99395,,,Chance of winning,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Utah,9,55.95576,41.25835,,,Projected vote share,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Utah,8,59.5825,37.6316,,.0272714,Blend with economic fundamentals,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Utah,7,55.84805,41.36605,,,Snapshot,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Utah,6,59.32293,37.89118,,.3263285,Blend with regression,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Utah,5,54.16481,43.04929,,,Reallocated vote share,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Utah,4,2.755226,2.755226,,,Reallocate undecideds and third-party votes,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Utah,3,51.40958,40.29407,,,Adjusted polling average,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Utah,2,-.0030632,-.0052223,,,Adjust for bounces & recent events,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Utah,1,51.41264,40.29929,,,Polling average,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Utah,10,.961025,.038975,,,Chance of winning,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Texas,9,50.56839,48.47691,,,Projected vote share,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Texas,8,54.36005,44.68525,,.0272714,Blend with economic fundamentals,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Texas,7,50.45711,48.58819,,,Snapshot,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Texas,6,52.45601,46.58929,,.1365606,Blend with regression,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Texas,5,50.14096,48.90434,,,Reallocated vote share,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Texas,4,2.014057,2.014057,,,Reallocate undecideds and third-party votes,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Texas,3,48.12691,46.89028,,,Adjusted polling average,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Texas,2,-.0032234,.0036049,,,Adjust for bounces & recent events,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Texas,1,48.13013,46.88667,,,Polling average,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Texas,10,.656425,.343575,,,Chance of winning,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Tennessee,9,57.66248,41.30383,,,Projected vote share,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Tennessee,8,61.34205,37.62427,,.0272714,Blend with economic fundamentals,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Tennessee,7,57.55724,41.40908,,,Snapshot,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Tennessee,6,58.71379,40.25253,,.5463789,Blend with regression,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Tennessee,5,56.16418,42.80214,,,Reallocated vote share,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Tennessee,4,1.761768,1.761768,,,Reallocate undecideds and third-party votes,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Tennessee,3,54.40241,41.04037,,,Adjusted polling average,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Tennessee,2,-.0830879,.0325928,,,Adjust for bounces & recent events,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Tennessee,1,54.4855,41.00778,,,Polling average,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Tennessee,10,.971225,.028775,,,Chance of winning,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",South Dakota,9,57.20636,41.35496,,,Projected vote share,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",South Dakota,8,60.87114,37.69019,,.0272714,Blend with economic fundamentals,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",South Dakota,7,57.09624,41.46508,,,Snapshot,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",South Dakota,6,58.96959,39.59173,,.3876036,Blend with regression,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",South Dakota,5,55.91055,42.65078,,,Reallocated vote share,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",South Dakota,4,2.795109,2.795109,,,Reallocate undecideds and third-party votes,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",South Dakota,3,53.11544,39.85567,,,Adjusted polling average,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",South Dakota,2,-.0282249,-.0113106,,,Adjust for bounces & recent events,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",South Dakota,1,53.14366,39.86698,,,Polling average,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",South Dakota,10,.9446,.0554,,,Chance of winning,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",South Carolina,9,53.69997,45.45322,,,Projected vote share,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",South Carolina,8,57.47728,41.67591,,.0272714,Blend with economic fundamentals,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",South Carolina,7,53.60431,45.54889,,,Snapshot,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",South Carolina,6,53.95205,45.20114,,.2782825,Blend with regression,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",South Carolina,5,53.47022,45.68297,,,Reallocated vote share,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",South Carolina,4,2.081078,2.081078,,,Reallocate undecideds and third-party votes,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",South Carolina,3,51.38914,43.60189,,,Adjusted polling average,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",South Carolina,2,-.0066261,-.0003586,,,Adjust for bounces & recent events,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",South Carolina,1,51.39577,43.60225,,,Polling average,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",South Carolina,10,.9152,.0848,,,Chance of winning,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Rhode Island,9,35.28167,63.44505,,,Projected vote share,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Rhode Island,8,38.86007,59.86666,,.0272714,Blend with economic fundamentals,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Rhode Island,7,35.15315,63.57357,,,Snapshot,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Rhode Island,6,36.40978,62.31694,,.6440401,Blend with regression,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Rhode Island,5,32.87953,65.84719,,,Reallocated vote share,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Rhode Island,4,1.169939,1.16993,,,Reallocate undecideds and third-party votes,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Rhode Island,3,31.70959,64.67726,,,Adjusted polling average,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Rhode Island,2,.0017147,-.0057831,,,Adjust for bounces & recent events,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Rhode Island,1,31.70788,64.68304,,,Polling average,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Rhode Island,10,.00065,.99935,,,Chance of winning,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Pennsylvania,9,47.10521,52.20009,,,Projected vote share,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Pennsylvania,8,50.92174,48.38356,,.0272714,Blend with economic fundamentals,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Pennsylvania,7,46.99867,52.30663,,,Snapshot,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Pennsylvania,6,45.74023,53.56506,,.0522555,Blend with regression,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Pennsylvania,5,47.06806,52.23724,,,Reallocated vote share,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Pennsylvania,4,2.04792,2.04792,,,Reallocate undecideds and third-party votes,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Pennsylvania,3,45.02014,50.18932,,,Adjusted polling average,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Pennsylvania,2,-.0059547,.003109,,,Adjust for bounces & recent events,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Pennsylvania,1,45.02609,50.18621,,,Polling average,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Pennsylvania,10,.14305,.85695,,,Chance of winning,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Oregon,9,39.7499,58.19739,,,Projected vote share,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Oregon,8,43.43731,54.50997,,.0272714,Blend with economic fundamentals,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Oregon,7,39.63771,58.30958,,,Snapshot,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Oregon,6,40.75562,57.19167,,.3686882,Blend with regression,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Oregon,5,38.98484,58.96244,,,Reallocated vote share,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Oregon,4,1.116512,1.116508,,,Reallocate undecideds and third-party votes,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Oregon,3,37.86833,57.84594,,,Adjusted polling average,17:26:03 30 Oct 2020,40000
