,state_po,year,unemployment_rate
0,AL,1976,6.766666666666666
1,AL,1977,7.316666666666666
2,AL,1978,6.316666666666666
3,AL,1979,7.175
4,AL,1980,8.883333333333333
5,AL,1981,10.533333333333333
6,AL,1982,14.083333333333334
7,AL,1983,13.833333333333334
8,AL,1984,11.0
9,AL,1985,9.141666666666667
10,AL,1986,9.708333333333334
11,AL,1987,8.058333333333334
12,AL,1988,7.191666666666669
13,AL,1989,7.041666666666668
14,AL,1990,6.791666666666667
15,AL,1991,7.3500000000000005
16,AL,1992,7.566666666666669
17,AL,1993,7.366666666666667
18,AL,1994,6.191666666666667
19,AL,1995,5.95
20,AL,1996,5.2250000000000005
21,AL,1997,4.975
22,AL,1998,4.391666666666667
23,AL,1999,4.733333333333332
24,AL,2000,4.575
25,AL,2001,5.1000000000000005
26,AL,2002,5.899999999999999
27,AL,2003,6.025000000000001
28,AL,2004,5.7
29,AL,2005,4.499999999999999
30,AL,2006,4.066666666666667
31,AL,2007,3.9749999999999996
32,AL,2008,5.716666666666666
33,AL,2009,10.991666666666667
34,AL,2010,10.541666666666666
35,AL,2011,9.616666666666667
36,AL,2012,7.983333333333332
37,AL,2013,7.216666666666668
38,AL,2014,6.758333333333334
39,AL,2015,6.083333333333333
40,AL,2016,5.841666666666666
41,AL,2017,4.416666666666667
42,AL,2018,3.8750000000000004
43,AL,2019,2.9916666666666667
44,AL,2020,6.611111111111112
45,AK,1976,7.516666666666667
46,AK,1977,9.866666666666667
47,AK,1978,10.616666666666667
48,AK,1979,9.275
49,AK,1980,9.65
50,AK,1981,9.383333333333333
51,AK,1982,9.958333333333334
52,AK,1983,9.933333333333334
53,AK,1984,9.85
54,AK,1985,9.691666666666668
55,AK,1986,10.933333333333335
56,AK,1987,10.266666666666667
57,AK,1988,8.783333333333333
58,AK,1989,7.008333333333333
59,AK,1990,7.233333333333334
60,AK,1991,8.458333333333334
61,AK,1992,8.916666666666668
62,AK,1993,7.708333333333332
63,AK,1994,7.566666666666667
64,AK,1995,7.316666666666666
65,AK,1996,7.583333333333333
66,AK,1997,7.141666666666667
67,AK,1998,6.358333333333333
68,AK,1999,6.466666666666666
69,AK,2000,6.358333333333333
70,AK,2001,6.416666666666667
71,AK,2002,7.3
72,AK,2003,7.8166666666666655
73,AK,2004,7.45
74,AK,2005,6.883333333333334
75,AK,2006,6.625000000000001
76,AK,2007,6.3500000000000005
77,AK,2008,6.708333333333335
78,AK,2009,7.733333333333333
79,AK,2010,7.874999999999999
80,AK,2011,7.566666666666667
81,AK,2012,7.133333333333333
82,AK,2013,7.0
83,AK,2014,6.866666666666666
84,AK,2015,6.533333333333332
85,AK,2016,6.858333333333334
86,AK,2017,6.883333333333333
87,AK,2018,6.45
88,AK,2019,6.141666666666667
89,AK,2020,9.08888888888889
90,AZ,1976,9.683333333333332
91,AZ,1977,8.216666666666667
92,AZ,1978,6.033333333333332
93,AZ,1979,5.091666666666666
94,AZ,1980,6.6499999999999995
95,AZ,1981,6.2250000000000005
96,AZ,1982,10.091666666666667
97,AZ,1983,8.825
98,AZ,1984,5.175
99,AZ,1985,6.333333333333335
100,AZ,1986,6.925000000000001
101,AZ,1987,6.45
102,AZ,1988,6.366666666666666
103,AZ,1989,5.358333333333333
104,AZ,1990,5.258333333333335
105,AZ,1991,5.966666666666666
106,AZ,1992,7.541666666666667
107,AZ,1993,6.408333333333332
108,AZ,1994,6.1499999999999995
109,AZ,1995,5.358333333333332
110,AZ,1996,5.566666666666667
111,AZ,1997,4.583333333333332
112,AZ,1998,4.324999999999999
113,AZ,1999,4.441666666666666
114,AZ,2000,3.9749999999999996
115,AZ,2001,4.775000000000001
116,AZ,2002,6.1000000000000005
117,AZ,2003,5.766666666666667
118,AZ,2004,5.041666666666665
119,AZ,2005,4.666666666666667
120,AZ,2006,4.2250000000000005
121,AZ,2007,3.8249999999999997
122,AZ,2008,6.141666666666666
123,AZ,2009,9.925
124,AZ,2010,10.35
125,AZ,2011,9.5
126,AZ,2012,8.333333333333334
127,AZ,2013,7.741666666666666
128,AZ,2014,6.8
129,AZ,2015,6.058333333333334
130,AZ,2016,5.375
131,AZ,2017,4.858333333333334
132,AZ,2018,4.741666666666666
133,AZ,2019,4.7
134,AZ,2020,7.866666666666668
135,AR,1976,6.974999999999999
136,AR,1977,6.449999999999999
137,AR,1978,6.191666666666666
138,AR,1979,6.208333333333333
139,AR,1980,7.558333333333334
140,AR,1981,8.758333333333335
141,AR,1982,9.9
142,AR,1983,9.825
143,AR,1984,8.73333333333333
144,AR,1985,8.683333333333334
145,AR,1986,8.558333333333334
146,AR,1987,8.108333333333334
147,AR,1988,7.6000000000000005
148,AR,1989,6.9750000000000005
149,AR,1990,6.908333333333332
150,AR,1991,7.425000000000001
151,AR,1992,7.091666666666666
152,AR,1993,6.141666666666667
153,AR,1994,5.375
154,AR,1995,4.85
155,AR,1996,5.249999999999999
156,AR,1997,5.233333333333333
157,AR,1998,5.175000000000001
158,AR,1999,4.6000000000000005
159,AR,2000,4.2749999999999995
160,AR,2001,4.95
161,AR,2002,5.474999999999999
162,AR,2003,5.9333333333333345
163,AR,2004,5.7
164,AR,2005,5.2250000000000005
165,AR,2006,5.175
166,AR,2007,5.3
167,AR,2008,5.5
168,AR,2009,7.824999999999999
169,AR,2010,8.191666666666666
170,AR,2011,8.291666666666666
171,AR,2012,7.575
172,AR,2013,7.216666666666666
173,AR,2014,6.016666666666666
174,AR,2015,5.008333333333333
175,AR,2016,3.9666666666666663
176,AR,2017,3.683333333333334
177,AR,2018,3.6416666666666675
178,AR,2019,3.5500000000000003
179,AR,2020,6.922222222222222
180,CA,1976,9.108333333333333
181,CA,1977,8.333333333333332
182,CA,1978,7.158333333333332
183,CA,1979,6.241666666666667
184,CA,1980,6.8500000000000005
185,CA,1981,7.383333333333333
186,CA,1982,9.958333333333334
187,CA,1983,9.808333333333334
188,CA,1984,7.758333333333334
189,CA,1985,7.175
190,CA,1986,6.749999999999999
191,CA,1987,5.808333333333334
192,CA,1988,5.291666666666666
193,CA,1989,5.125000000000002
194,CA,1990,5.783333333333334
195,CA,1991,7.716666666666666
196,CA,1992,9.299999999999999
197,CA,1993,9.483333333333333
198,CA,1994,8.591666666666667
199,CA,1995,7.858333333333333
200,CA,1996,7.2583333333333355
201,CA,1997,6.358333333333333
202,CA,1998,5.95
203,CA,1999,5.233333333333334
204,CA,2000,4.958333333333333
205,CA,2001,5.433333333333334
206,CA,2002,6.6499999999999995
207,CA,2003,6.799999999999998
208,CA,2004,6.208333333333333
209,CA,2005,5.399999999999999
210,CA,2006,4.916666666666666
211,CA,2007,5.375
212,CA,2008,7.291666666666667
213,CA,2009,11.141666666666667
214,CA,2010,12.225000000000001
215,CA,2011,11.70833333333333
216,CA,2012,10.375000000000002
217,CA,2013,8.941666666666666
218,CA,2014,7.5
219,CA,2015,6.208333333333333
220,CA,2016,5.491666666666666
221,CA,2017,4.791666666666667
222,CA,2018,4.258333333333334
223,CA,2019,4.05
224,CA,2020,10.744444444444445
225,CO,1976,5.808333333333334
226,CO,1977,6.366666666666666
227,CO,1978,5.516666666666667
228,CO,1979,4.741666666666667
229,CO,1980,5.808333333333333
230,CO,1981,5.733333333333334
231,CO,1982,7.333333333333335
232,CO,1983,7.108333333333333
233,CO,1984,5.441666666666667
234,CO,1985,6.075
235,CO,1986,7.508333333333333
236,CO,1987,7.533333333333334
237,CO,1988,6.5
238,CO,1989,5.633333333333334
239,CO,1990,5.233333333333334
240,CO,1991,5.258333333333334
241,CO,1992,6.0
242,CO,1993,5.324999999999999
243,CO,1994,4.233333333333333
244,CO,1995,4.008333333333335
245,CO,1996,4.241666666666666
246,CO,1997,3.4499999999999997
247,CO,1998,3.5999999999999996
248,CO,1999,3.0749999999999997
249,CO,2000,2.7583333333333333
250,CO,2001,3.816666666666667
251,CO,2002,5.525000000000001
252,CO,2003,5.949999999999999
253,CO,2004,5.474999999999999
254,CO,2005,5.0249999999999995
255,CO,2006,4.308333333333333
256,CO,2007,3.725
257,CO,2008,4.8500000000000005
258,CO,2009,7.300000000000001
259,CO,2010,8.725000000000001
260,CO,2011,8.358333333333334
261,CO,2012,7.891666666666667
262,CO,2013,6.849999999999999
263,CO,2014,4.991666666666666
264,CO,2015,3.8833333333333333
265,CO,2016,3.2999999999999994
266,CO,2017,2.791666666666666
267,CO,2018,3.158333333333333
268,CO,2019,2.7583333333333333
269,CO,2020,7.0777777777777775
270,CT,1976,9.275
271,CT,1977,6.991666666666667
272,CT,1978,5.2250000000000005
273,CT,1979,5.15
274,CT,1980,5.8083333333333345
275,CT,1981,6.166666666666668
276,CT,1982,6.8666666666666645
277,CT,1983,6.008333333333333
278,CT,1984,4.666666666666667
279,CT,1985,4.716666666666668
280,CT,1986,3.8416666666666663
281,CT,1987,3.35
282,CT,1988,2.966666666666667
283,CT,1989,3.75
284,CT,1990,5.125
285,CT,1991,6.533333333333334
286,CT,1992,7.541666666666665
287,CT,1993,6.625
288,CT,1994,5.616666666666667
289,CT,1995,5.491666666666666
290,CT,1996,5.5
291,CT,1997,5.0
292,CT,1998,3.441666666666667
293,CT,1999,2.875
294,CT,2000,2.408333333333333
295,CT,2001,3.1166666666666667
296,CT,2002,4.308333333333334
297,CT,2003,5.408333333333332
298,CT,2004,4.958333333333332
299,CT,2005,4.875
300,CT,2006,4.333333333333333
301,CT,2007,4.4750000000000005
302,CT,2008,5.666666666666667
303,CT,2009,7.925000000000001
304,CT,2010,9.133333333333335
305,CT,2011,8.825
306,CT,2012,8.350000000000001
307,CT,2013,7.808333333333333
308,CT,2014,6.625
309,CT,2015,5.725000000000001
310,CT,2016,5.166666666666667
311,CT,2017,4.7
312,CT,2018,4.158333333333332
313,CT,2019,3.741666666666666
314,CT,2020,7.222222222222224
315,DE,1976,8.816666666666666
316,DE,1977,8.458333333333332
317,DE,1978,7.408333333333334
318,DE,1979,7.2
319,DE,1980,7.608333333333333
320,DE,1981,7.8500000000000005
321,DE,1982,8.366666666666665
322,DE,1983,7.741666666666667
323,DE,1984,6.308333333333333
324,DE,1985,5.141666666666667
325,DE,1986,4.333333333333334
326,DE,1987,3.1
327,DE,1988,3.133333333333334
328,DE,1989,3.491666666666667
329,DE,1990,4.708333333333333
330,DE,1991,6.208333333333332
331,DE,1992,5.416666666666667
332,DE,1993,5.058333333333334
333,DE,1994,4.783333333333333
334,DE,1995,4.325
335,DE,1996,5.091666666666667
336,DE,1997,4.008333333333334
337,DE,1998,3.7083333333333335
338,DE,1999,3.4083333333333328
339,DE,2000,3.758333333333333
340,DE,2001,3.491666666666667
341,DE,2002,4.016666666666667
342,DE,2003,4.241666666666666
343,DE,2004,3.991666666666667
344,DE,2005,4.141666666666667
345,DE,2006,3.591666666666667
346,DE,2007,3.441666666666667
347,DE,2008,4.966666666666666
348,DE,2009,8.258333333333333
349,DE,2010,8.416666666666666
350,DE,2011,7.5
351,DE,2012,7.208333333333333
352,DE,2013,6.691666666666666
353,DE,2014,5.716666666666666
354,DE,2015,4.858333333333333
355,DE,2016,4.525
356,DE,2017,4.466666666666666
357,DE,2018,3.783333333333333
358,DE,2019,3.766666666666666
359,DE,2020,9.322222222222225
360,FL,1976,9.108333333333333
361,FL,1977,8.174999999999999
362,FL,1978,6.708333333333335
363,FL,1979,5.949999999999999
364,FL,1980,6.091666666666668
365,FL,1981,6.6499999999999995
366,FL,1982,8.441666666666666
367,FL,1983,8.516666666666667
368,FL,1984,6.383333333333333
369,FL,1985,5.9750000000000005
370,FL,1986,5.8
371,FL,1987,5.3083333333333345
372,FL,1988,5.125
373,FL,1989,5.566666666666667
374,FL,1990,6.125
375,FL,1991,7.541666666666668
376,FL,1992,8.233333333333333
377,FL,1993,7.125000000000003
378,FL,1994,6.425000000000001
379,FL,1995,5.516666666666667
380,FL,1996,5.166666666666667
381,FL,1997,4.791666666666667
382,FL,1998,4.316666666666667
383,FL,1999,3.875
384,FL,2000,3.7166666666666672
385,FL,2001,4.633333333333334
386,FL,2002,5.641666666666667
387,FL,2003,5.224999999999999
388,FL,2004,4.608333333333333
389,FL,2005,3.683333333333333
390,FL,2006,3.241666666666666
391,FL,2007,4.008333333333334
392,FL,2008,6.3
393,FL,2009,10.391666666666667
394,FL,2010,11.033333333333333
395,FL,2011,9.991666666666667
396,FL,2012,8.483333333333333
397,FL,2013,7.233333333333333
398,FL,2014,6.275000000000001
399,FL,2015,5.449999999999999
400,FL,2016,4.816666666666666
401,FL,2017,4.2250000000000005
402,FL,2018,3.5916666666666663
403,FL,2019,3.1249999999999996
404,FL,2020,8.233333333333333
405,GA,1976,8.158333333333333
406,GA,1977,6.908333333333334
407,GA,1978,5.733333333333332
408,GA,1979,5.125
409,GA,1980,6.349999999999999
410,GA,1981,6.366666666666667
411,GA,1982,7.766666666666667
412,GA,1983,7.75
413,GA,1984,6.116666666666667
414,GA,1985,6.408333333333332
415,GA,1986,5.975000000000001
416,GA,1987,5.675
417,GA,1988,5.7
418,GA,1989,5.5
419,GA,1990,5.466666666666666
420,GA,1991,5.208333333333333
421,GA,1992,6.891666666666667
422,GA,1993,6.05
423,GA,1994,5.208333333333333
424,GA,1995,4.825
425,GA,1996,4.683333333333334
426,GA,1997,4.583333333333332
427,GA,1998,4.283333333333334
428,GA,1999,3.916666666666666
429,GA,2000,3.5833333333333326
430,GA,2001,4.033333333333332
431,GA,2002,4.999999999999999
432,GA,2003,4.825
433,GA,2004,4.758333333333334
434,GA,2005,5.324999999999999
435,GA,2006,4.7250000000000005
436,GA,2007,4.541666666666667
437,GA,2008,6.266666666666667
438,GA,2009,9.933333333333334
439,GA,2010,10.491666666666665
440,GA,2011,10.233333333333333
441,GA,2012,9.191666666666666
442,GA,2013,8.2
443,GA,2014,7.099999999999999
444,GA,2015,5.983333333333332
445,GA,2016,5.383333333333333
446,GA,2017,4.691666666666666
447,GA,2018,3.949999999999999
448,GA,2019,3.4333333333333336
449,GA,2020,6.677777777777778
450,HI,1976,9.391666666666666
451,HI,1977,7.824999999999999
452,HI,1978,7.108333333333334
453,HI,1979,6.083333333333333
454,HI,1980,5.0583333333333345
455,HI,1981,5.425
456,HI,1982,6.316666666666666
457,HI,1983,6.166666666666667
458,HI,1984,5.675000000000001
459,HI,1985,5.391666666666667
460,HI,1986,4.7749999999999995
461,HI,1987,3.8166666666666664
462,HI,1988,3.1750000000000007
463,HI,1989,2.533333333333333
464,HI,1990,2.6833333333333336
465,HI,1991,2.875
466,HI,1992,4.333333333333333
467,HI,1993,4.508333333333334
468,HI,1994,5.508333333333334
469,HI,1995,5.875
470,HI,1996,6.258333333333334
471,HI,1997,6.233333333333333
472,HI,1998,6.091666666666668
473,HI,1999,5.3999999999999995
474,HI,2000,4.258333333333334
475,HI,2001,4.458333333333334
476,HI,2002,4.241666666666666
477,HI,2003,4.125
478,HI,2004,3.391666666666667
479,HI,2005,2.858333333333334
480,HI,2006,2.6416666666666666
481,HI,2007,2.775
482,HI,2008,4.325
483,HI,2009,7.125
484,HI,2010,6.95
485,HI,2011,6.8
486,HI,2012,6.008333333333333
487,HI,2013,4.883333333333332
488,HI,2014,4.358333333333333
489,HI,2015,3.566666666666667
490,HI,2016,2.9499999999999993
491,HI,2017,2.433333333333333
492,HI,2018,2.516666666666667
493,HI,2019,2.7166666666666663
494,HI,2020,12.233333333333333
495,ID,1976,5.575
496,ID,1977,5.766666666666667
497,ID,1978,5.458333333333333
498,ID,1979,5.808333333333334
499,ID,1980,7.525000000000001
500,ID,1981,7.7749999999999995
501,ID,1982,9.908333333333333
502,ID,1983,8.941666666666668
503,ID,1984,7.325
504,ID,1985,7.866666666666666
505,ID,1986,8.433333333333334
506,ID,1987,7.608333333333334
507,ID,1988,6.041666666666667
508,ID,1989,5.283333333333334
509,ID,1990,5.541666666666667
510,ID,1991,6.191666666666667
511,ID,1992,6.358333333333333
512,ID,1993,5.974999999999999
513,ID,1994,5.408333333333334
514,ID,1995,5.416666666666667
515,ID,1996,5.300000000000002
516,ID,1997,5.1416666666666675
517,ID,1998,5.108333333333334
518,ID,1999,4.8999999999999995
519,ID,2000,4.699999999999998
520,ID,2001,5.091666666666667
521,ID,2002,5.533333333333332
522,ID,2003,5.6000000000000005
523,ID,2004,4.933333333333333
524,ID,2005,4.033333333333332
525,ID,2006,3.475
526,ID,2007,3.0416666666666665
527,ID,2008,5.141666666666667
528,ID,2009,8.733333333333334
529,ID,2010,8.966666666666667
530,ID,2011,8.316666666666666
531,ID,2012,7.2
532,ID,2013,6.116666666666667
533,ID,2014,4.833333333333334
534,ID,2015,4.1000000000000005
535,ID,2016,3.7833333333333337
536,ID,2017,3.2083333333333335
537,ID,2018,2.908333333333333
538,ID,2019,2.899999999999999
539,ID,2020,5.555555555555556
540,IL,1976,6.575
541,IL,1977,6.233333333333333
542,IL,1978,5.958333333333332
543,IL,1979,5.541666666666667
544,IL,1980,8.166666666666668
545,IL,1981,8.533333333333333
546,IL,1982,11.358333333333334
547,IL,1983,11.816666666666668
548,IL,1984,9.033333333333333
549,IL,1985,9.049999999999999
550,IL,1986,8.291666666666666
551,IL,1987,7.433333333333333
552,IL,1988,6.658333333333332
553,IL,1989,6.016666666666667
554,IL,1990,6.191666666666667
555,IL,1991,7.266666666666668
556,IL,1992,7.916666666666667
557,IL,1993,7.458333333333333
558,IL,1994,5.75
559,IL,1995,5.15
560,IL,1996,5.2749999999999995
561,IL,1997,4.7666666666666675
562,IL,1998,4.425
563,IL,1999,4.366666666666666
564,IL,2000,4.333333333333333
565,IL,2001,5.325
566,IL,2002,6.533333333333332
567,IL,2003,6.758333333333333
568,IL,2004,6.191666666666667
569,IL,2005,5.683333333333334
570,IL,2006,4.5666666666666655
571,IL,2007,4.958333333333333
572,IL,2008,6.308333333333334
573,IL,2009,10.2
574,IL,2010,10.366666666666667
575,IL,2011,9.691666666666668
576,IL,2012,8.991666666666667
577,IL,2013,9.041666666666666
578,IL,2014,7.099999999999999
579,IL,2015,5.958333333333333
580,IL,2016,5.816666666666667
581,IL,2017,4.925
582,IL,2018,4.333333333333333
583,IL,2019,3.983333333333334
584,IL,2020,10.088888888888889
585,IN,1976,6.016666666666668
586,IN,1977,5.783333333333332
587,IN,1978,5.583333333333333
588,IN,1979,6.483333333333333
589,IN,1980,9.674999999999999
590,IN,1981,9.866666666666667
591,IN,1982,11.966666666666667
592,IN,1983,11.200000000000001
593,IN,1984,8.541666666666668
594,IN,1985,7.8
595,IN,1986,6.875000000000001
596,IN,1987,6.2250000000000005
597,IN,1988,5.2333333333333325
598,IN,1989,4.841666666666666
599,IN,1990,5.3
600,IN,1991,5.966666666666668
601,IN,1992,6.558333333333333
602,IN,1993,5.3999999999999995
603,IN,1994,4.85
604,IN,1995,4.608333333333333
605,IN,1996,4.058333333333333
606,IN,1997,3.491666666666667
607,IN,1998,3.0833333333333335
608,IN,1999,3.0416666666666674
609,IN,2000,3.141666666666667
610,IN,2001,4.233333333333333
611,IN,2002,5.191666666666667
612,IN,2003,5.3
613,IN,2004,5.358333333333333
614,IN,2005,5.466666666666666
615,IN,2006,5.083333333333333
616,IN,2007,4.5583333333333345
617,IN,2008,5.916666666666667
618,IN,2009,10.291666666666666
619,IN,2010,10.341666666666667
620,IN,2011,9.108333333333334
621,IN,2012,8.35
622,IN,2013,7.633333333333333
623,IN,2014,5.958333333333332
624,IN,2015,4.833333333333333
625,IN,2016,4.433333333333333
626,IN,2017,3.558333333333333
627,IN,2018,3.475
628,IN,2019,3.316666666666667
629,IN,2020,7.844444444444445
630,IA,1976,3.9833333333333325
631,IA,1977,3.8833333333333324
632,IA,1978,3.8499999999999996
633,IA,1979,4.216666666666667
634,IA,1980,6.041666666666665
635,IA,1981,6.574999999999999
636,IA,1982,8.508333333333335
637,IA,1983,8.125
638,IA,1984,6.983333333333333
639,IA,1985,7.45
640,IA,1986,6.75
641,IA,1987,5.483333333333333
642,IA,1988,4.499999999999999
643,IA,1989,4.191666666666666
644,IA,1990,4.416666666666667
645,IA,1991,4.658333333333334
646,IA,1992,4.466666666666666
647,IA,1993,4.058333333333333
648,IA,1994,3.4999999999999996
649,IA,1995,3.4583333333333335
650,IA,1996,3.525
651,IA,1997,3.108333333333334
652,IA,1998,2.7416666666666667
653,IA,1999,2.591666666666667
654,IA,2000,2.6249999999999996
655,IA,2001,3.3249999999999997
656,IA,2002,4.008333333333334
657,IA,2003,4.491666666666667
658,IA,2004,4.491666666666667
659,IA,2005,4.250000000000001
660,IA,2006,3.7000000000000006
661,IA,2007,3.7000000000000006
662,IA,2008,4.233333333333333
663,IA,2009,6.391666666666668
664,IA,2010,6.008333333333333
665,IA,2011,5.5249999999999995
666,IA,2012,5.033333333333333
667,IA,2013,4.733333333333333
668,IA,2014,4.241666666666667
669,IA,2015,3.758333333333334
670,IA,2016,3.625
671,IA,2017,3.1166666666666667
672,IA,2018,2.6166666666666667
673,IA,2019,2.7416666666666667
674,IA,2020,6.2555555555555555
675,KS,1976,4.208333333333334
676,KS,1977,3.9166666666666665
677,KS,1978,3.1166666666666667
678,KS,1979,3.233333333333333
679,KS,1980,4.433333333333333
680,KS,1981,4.308333333333334
681,KS,1982,6.266666666666666
682,KS,1983,5.858333333333333
683,KS,1984,4.924999999999999
684,KS,1985,5.075
685,KS,1986,5.349999999999999
686,KS,1987,4.825000000000001
687,KS,1988,4.5249999999999995
688,KS,1989,4.175000000000001
689,KS,1990,4.316666666666667
690,KS,1991,4.408333333333334
691,KS,1992,4.491666666666668
692,KS,1993,4.966666666666667
693,KS,1994,4.891666666666666
694,KS,1995,4.416666666666667
695,KS,1996,4.241666666666667
696,KS,1997,3.7583333333333333
697,KS,1998,3.5250000000000004
698,KS,1999,3.266666666666666
699,KS,2000,3.608333333333333
700,KS,2001,4.208333333333333
701,KS,2002,5.0583333333333345
702,KS,2003,5.508333333333334
703,KS,2004,5.449999999999999
704,KS,2005,5.008333333333333
705,KS,2006,4.391666666666666
706,KS,2007,4.241666666666665
707,KS,2008,4.625000000000001
708,KS,2009,6.866666666666667
709,KS,2010,7.058333333333334
710,KS,2011,6.491666666666666
711,KS,2012,5.733333333333334
712,KS,2013,5.308333333333333
713,KS,2014,4.533333333333332
714,KS,2015,4.183333333333334
715,KS,2016,4.025
716,KS,2017,3.65
717,KS,2018,3.291666666666666
718,KS,2019,3.150000000000001
719,KS,2020,6.488888888888889
720,KY,1976,5.383333333333333
721,KY,1977,4.866666666666667
722,KY,1978,5.108333333333335
723,KY,1979,5.541666666666667
724,KY,1980,7.941666666666666
725,KY,1981,8.591666666666667
726,KY,1982,10.816666666666668
727,KY,1983,11.416666666666666
728,KY,1984,9.291666666666666
729,KY,1985,9.2
730,KY,1986,9.383333333333335
731,KY,1987,8.466666666666669
732,KY,1988,7.6000000000000005
733,KY,1989,6.358333333333333
734,KY,1990,5.983333333333333
735,KY,1991,7.291666666666665
736,KY,1992,6.858333333333333
737,KY,1993,6.258333333333333
738,KY,1994,5.374999999999999
739,KY,1995,5.408333333333334
740,KY,1996,5.45
741,KY,1997,5.341666666666666
742,KY,1998,4.6000000000000005
743,KY,1999,4.5
744,KY,2000,4.166666666666667
745,KY,2001,5.158333333333333
746,KY,2002,5.683333333333334
747,KY,2003,6.133333333333333
748,KY,2004,5.408333333333334
749,KY,2005,5.866666666666666
750,KY,2006,5.733333333333334
751,KY,2007,5.375
752,KY,2008,6.466666666666668
753,KY,2009,10.33333333333333
754,KY,2010,10.166666666666668
755,KY,2011,9.375
756,KY,2012,8.166666666666666
757,KY,2013,8.016666666666667
758,KY,2014,6.458333333333332
759,KY,2015,5.275
760,KY,2016,5.125000000000001
761,KY,2017,4.891666666666667
762,KY,2018,4.333333333333332
763,KY,2019,4.2749999999999995
764,KY,2020,7.022222222222222
765,LA,1976,6.716666666666666
766,LA,1977,7.066666666666666
767,LA,1978,6.791666666666668
768,LA,1979,6.6000000000000005
769,LA,1980,6.8500000000000005
770,LA,1981,8.383333333333333
771,LA,1982,10.275
772,LA,1983,11.516666666666666
